code,name,brand,pms,pms_property_id,pms_property_name,company,analytic,journal,due_by,enabled
AR610,"QUALITY INN FT SMITH, AR",Quality,CHOICEADV,,,,AR610,NA,,no
FYVSSHX,"HAMPTON INN SILOAM SPRINGS, AR",Hampton,PEP,,,,FYVSSHX,NA,,no
CT158,"COMFORT INN GRISWOLD, CT",Comfort Inn,CHOICEADV,,,,CT158,NA,,no
FL572,"QUALITY INN BRADENTON, FL",Quality,CHOICEADV,,,,FL572,NA,,no
JAXQT,"CANDLEWOOD SUITES (EAST MERRIL ROAD) JACKSONVILLE, FL",Candlewood,HOTELKEY,,,,JAXQT,NA,,no
JAXAU,"HOLIDAY INN EXPRESS & SUITES (SOUTH BARTRAM PARK) JACKSONVILLE, FL",Holiday Inn Express,HOTELKEY,,,,JAXAU,NA,,no
JAXSE,"TOWNEPLACE SUITES JACKSONVILLE, FL",Towneplace,AGILYSYS,,,,JAXSE,NA,,no
MCOKK,Springhill Suites by Marriott Orlando Kissimmee,Springhill Suites,AGILYSYS,,,,MCOKK,NA,,no
DABPC,"FAIRFIELD INN & SUITES PALM COAST, FL",Fairfield,AGILYSYS,,,,DABPC,NA,,no
FL303,"COMFORT INN SUN CITY CENTER, FL",Comfort Inn,CHOICEADV,,,,FL303,NA,,no
FL014,"COMFORT SUITES (BRANDON) TAMPA, FL",Comfort Suites,CHOICEADV,,,,FL014,NA,,no
ATLPGHH,Hilton Peachtree City Atlanta Hotel & Conference Center,Hilton,PEP,,,,ATLPGHH,NA,,no
IL244,"COMFORT SUITES FAIRVIEW HEIGHTS, IL",Comfort Suites,CHOICEADV,,,,IL244,NA,,no
IN441,"QUALITY INN & SUITES BROWNSBURG, IN",Quality,CHOICEADV,,,,IN441,NA,,no
INDCNHX,Hampton Inn Indianapolis Canal IUPUI,Hampton,PEP,,,,INDCNHX,NA,,no
INDIAHW,Homewood Suites by Hilton Indianapolis-Downtown,Homewood,PEP,,,,INDIAHW,NA,,no
IN372,"COMFORT INN INDIANAPOLIS, IN",Comfort Inn,CHOICEADV,,,,IN372,NA,,no
INDWE,"HOLIDAY INN DOWNTOWN INDIANAPOLIS, IN",Holiday Inn,HOTELKEY,,,,INDWE,NA,,no
INDNBES,Embassy Suites by Hilton Noblesville Indianapolis Conference Center,Embassy Suites,PEP,,,,INDNBES,NA,,no
INDPLES,Embassy Suites by Hilton Plainfield Indianapolis Airport,Embassy Suites,PEP,,,,INDPLES,NA,,no
IN063,"QUALITY INN ROCHESTER, IN",Quality,CHOICEADV,,,,IN063,NA,,no
KS209,"COMFORT INN & SUITES EMPORIA, KS",Comfort Inn,CHOICEADV,,,,KS209,NA,,no
KS303,"QUALITY INN OVERLAND PARK, KS",Quality,CHOICEADV,,,,KS303,NA,,no
KS401,"QUALITY INN SOUTH WICHITA, KS",Quality,CHOICEADV,,,,KS401,NA,,no
KS118,"COMFORT SUITES WICHITA, KS",Comfort Suites,CHOICEADV,,,,KS118,NA,,no
BOSBG,Holiday Inn Express Brockton - Boston,Holiday Inn Express,HOTELKEY,,,,BOSBG,NA,,no
MO188,"COMFORT INN & SUITES LEES SUMMIT, MO",Comfort Inn,CHOICEADV,,,,MO188,NA,,no
MO321,"COMFORT INN LEES SUMMIT, MO",Comfort Inn,CHOICEADV,,,,MO321,NA,,no
MO131,"COMFORT SUITES SAINT CHARLES, MO",Comfort Suites,CHOICEADV,,,,MO131,NA,,no
NE090,"COMFORT INN & SUITES OMAHA, NE",Comfort Inn,CHOICEADV,,,,NE090,NA,,no
EWRELES,Embassy Suites by Hilton Newark Airport,Embassy Suites,PEP,,,,EWRELES,NA,,no
EWRAS,Aloft Secaucus Meadowlands,Aloft,AGILYSYS,,,,EWRAS,NA,,no
NY529,"Comfort Inn & Suites, BRONX NY",Comfort Inn,CHOICEADV,,,,NY529,NA,,no
ISPCP,"HOLIDAY INN (HOLTSVILLE) LONG ISLAND, NY",Holiday Inn,HOTELKEY,,,,ISPCP,NA,,no
DAYTS,"TOWNEPLACE SUITES DAYTON, OH",Towneplace,AGILYSYS,,,,DAYTS,NA,,no
OK211,"QUALITY INN DUNCAN, OK",Quality,CHOICEADV,,,,OK211,NA,,no
OKCED,"FAIRFIELD INN & SUITES EDMOND, OK",Fairfield,AGILYSYS,,,,OKCED,NA,,no
OKCEDHX,"HAMPTON INN EDMOND, OK",Hampton,PEP,,,,OKCEDHX,NA,,no
ELKCYHX,"HAMPTON INN & SUITES ELK CITY, OK",Hampton,PEP,,,,ELKCYHX,NA,,no
ELKEO,"HOLIDAY INN EXPRESS & SUITES ELK CITY, OK",Holiday Inn Express,HOTELKEY,,,,ELKEO,NA,,no
MMIOKHX,"HAMPTON INN MIAMI, OK",Hampton,PEP,,,,MMIOKHX,NA,,no
OKCMW,"HOLIDAY INN EXPRESS & SUITES MIDWEST CITY, OK",Holiday Inn Express,HOTELKEY,,,,OKCMW,NA,,no
CANDLEWOOD-MOORE,"CANDLEWOOD SUITES MOORE, OK",Candlewood,HOTELKEY,,,,CANDLEWOOD-MOORE,NA,,yes
OKCMOHX,"HAMPTON INN & SUITES MOORE, OK",Hampton,PEP,,,,OKCMOHX,NA,,no
OKCEM,"HOLIDAY INN EXPRESS & SUITES MOORE, OK",Holiday Inn Express,HOTELKEY,,,,OKCEM,NA,,no
OK016,"QUALITY INN MOORE, OK",Quality,CHOICEADV,,,,OK016,NA,,no
OKCMO,"SPRINGHILL SUITES MOORE, OK",Springhill Suites,AGILYSYS,,,,OKCMO,NA,,no
OK154,"COMFORT INN & SUITES NORMAN, OK",Comfort Inn,CHOICEADV,,,,OK154,NA,,no
OKCAV,"AVID QUAIL SPRINGS MALL OKLAHOMA CITY, OK",Avid,HOTELKEY,,,,OKCAV,NA,,no
OK147,"COMFORT INN & SUITES QUAIL SPRINGS OKLAHOMA CITY, OK",Comfort Inn,CHOICEADV,,,,OK147,NA,,no
OKCNQ,Courtyard Oklahoma City North/Quail Springs,Courtyard,AGILYSYS,,,,OKCNQ,NA,,no
OKCON,EMBASSY SUITES OKC NW EXPRESSWAY,Embassy Suites,PEP,,,,OKCON,NA,,yes
OKCSS,Holiday Inn Express & Suites Oklahoma City Mid - Arpt Area,Holiday Inn Express,HOTELKEY,,,,OKCSS,NA,,no
OKCEXHT,Home2 Suites by Hilton Oklahoma City NW Expressway,Home2,PEP,,,,OKCEXHT,NA,,no
OKCXW,"RESIDENCE INN MEMORIAL OKLAHOMA CITY, OK",Residence Inn,AGILYSYS,,,,OKCXW,NA,,no
OKCRW,"RESIDENCE INN NORTHWEST EXPRESSWAY OKLAHOMA CITY, OK",Residence Inn,AGILYSYS,,,,OKCRW,NA,,no
OKCRURU,TRU BY HILTON OKC NW EXPRESSWAY,Tru,PEP,,,,OKCRURU,NA,,no
OK259,"COMFORT SUITES OKC AIRPORT OKLAHOMA CITY, OK",Comfort Suites,CHOICEADV,,,,OK259,NA,,no
OKCAP,FAIRFIELD INN & SUITES OKC AIRPORT,Fairfield,AGILYSYS,,,,OKCAP,NA,,no
OKCAH,HILTON GARDEN INN OKC AIRPORT,Hilton Garden Inn,PEP,,,,OKCAH,NA,,yes
OKCMD,HOLIDAY INN EXPRESS & SUITES OKC AIRPORT,Holiday Inn Express,HOTELKEY,,,,OKCMD,NA,,yes
OKCAW,"SPRINGHILL SUITES MACARTHUR OKLAHOMA CITY, OK",Springhill Suites,AGILYSYS,,,,OKCAW,NA,,yes
OKCTS,TOWNEPLACE SUITES OKC AIRPORT,Towneplace,AGILYSYS,,,,OKCTS,NA,,no
OKCJWRU,TRU BY HILTON OKC AIRPORT,Tru,PEP,,,,OKCJWRU,NA,,no
OKCAM,AVID OKC AIRPORT,Avid,HOTELKEY,,,,OKCAM,NA,,no
OWACW,"CANDLEWOOD SUITES OWASSO, OK",Candlewood,HOTELKEY,,,,OWACW,NA,,no
OK131,"COMFORT INN & SUITES PAULS VALLEY, OK",Comfort Inn,CHOICEADV,,,,OK131,NA,,no
OKCPVHX,"HAMPTON INN & SUITES PAULS VALLEY, OK",Hampton,PEP,,,,OKCPVHX,NA,,no
OK137,"COMFORT INN & SUITES PONCA CITY, OK",Comfort Inn,CHOICEADV,,,,OK137,NA,,no
TULPRHX,"HAMPTON INN & SUITES PRYOR, OK",Hampton,PEP,,,,TULPRHX,NA,,no
PROPR,"HOLIDAY INN EXPRESS & SUITES PRYOR, OK",Holiday Inn Express,HOTELKEY,,,,PROPR,NA,,no
OK339,"QUALITY INN SALLISAW, OK",Quality,CHOICEADV,,,,OK339,NA,,no
OK158,"COMFORT INN & SUITES SHAWNEE, OK",Comfort Inn,CHOICEADV,,,,OK158,NA,,no
SWOHXHX,Hampton Inn & Suites Stillwater West,Hampton,PEP,,,,SWOHXHX,NA,,no
TULAV,"AVID (MEDICAL DISTRICT) SOUTH TULSA, OK",Avid,HOTELKEY,,,,TULAV,NA,,no
OK254,"COMFORT INN & SUITES (RT 66) TULSA, OK",Comfort Inn,CHOICEADV,,,,OK254,NA,,no
OK238,"COMFORT INN (MIDTOWN) TULSA, OK",Comfort Inn,CHOICEADV,,,,OK238,NA,,no
TULHSHX,"HAMPTON INN & SUITES WOODLAND HILLS MALL TULSA, OK",Hampton,PEP,,,,TULHSHX,NA,,no
TULMDGI,"HILTON GARDEN INN MIDTOWN TULSA, OK",Hilton Garden Inn,PEP,,,,TULMDGI,NA,,no
TULXS,"HOLIDAY INN EXPRESS & SUITES MIDTOWN TULSA, OK",Holiday Inn Express,HOTELKEY,,,,TULXS,NA,,no
TULBR,Renaissance Tulsa Hotel & Convention Center,Renaissance,AGILYSYS,,,,TULBR,NA,,no
TULTC,"RESIDENCE INN MIDTOWN TULSA, OK",Residence Inn,AGILYSYS,,,,TULTC,NA,,no
OKCEX,"FAIRFIELD INN & SUITES WARR ACRES, OK",Fairfield,AGILYSYS,,,,OKCEX,NA,,no
OK129,"COMFORT INN & SUITES WEATHERFORD, OK",Comfort Inn,CHOICEADV,,,,OK129,NA,,no
OJAFI,"FAIRFIELD INN & SUITES WEATHERFORD, OK",Fairfield,AGILYSYS,,,,OJAFI,NA,,no
OKCYK,"FAIRFIELD INN & SUITES YUKON, OK",Fairfield,AGILYSYS,,,,OKCYK,NA,,no
OKCYKHX,"HAMPTON INN YUKON, OK",Hampton,PEP,,,,OKCYKHX,NA,,no
AUSNL,"COURTYARD AUSTIN, TX NORTHWEST/LAKELINE",Courtyard,AGILYSYS,,,,AUSNL,NA,,no
