site_code,live_code,brand,franchise,city,state,pms,name,brand_page
,,BAYMONT,WYNDHAM,FORT SMITH,AR,SYNXIS,"BAYMONT BY WYNDHAM FT SMITH, AR",https://www.wyndhamhotels.com/baymont/fort-smith-arkansas/baymont-inn-and-suites-fort-smith/overview
04117,,BEST WESTERN,BEST WESTERN,FORT SMITH,AR,,Best Western Aspen Hotel,https://www.bestwestern.com/en_US/book/hotels-in-fort-smith/best-western-aspen-hotel/propertyCode.04117.html#
AR610,,QUALITY,CHOICE,FT SMITH,AR,CHOICEADV,"QUALITY INN FT SMITH, AR",https://www.choicehotels.com/arkansas/fort-smith/quality-inn-hotels/ar610
FYVSSHX,,HAMPTON,HILTON,SILOAM SPRINGS,AR,PEP,"HAMPTON INN SILOAM SPRINGS, AR",https://www.hilton.com/en/hotels/fyvsshx-hampton-siloam-springs/
CT158,,COMFORT INN,CHOICE,GRISWOLD,CT,CHOICEADV,"COMFORT INN GRISWOLD, CT",https://www.choicehotels.com/connecticut/griswold/comfort-inn-hotels/ct158
FL572,,QUALITY,CHOICE,BRADENTON,FL,CHOICEADV,"QUALITY INN BRADENTON, FL",https://www.choicehotels.com/florida/bradenton/quality-inn-hotels/fl572
,,BRANDON MOTOR LODGE,INDEPENDENT,BRANDON,FL,,Brandon Motor Lodge,
JAXQT,,CANDLEWOOD,IHG,JACKSONVILLE,FL,HOTELKEY,"CANDLEWOOD SUITES (EAST MERRIL ROAD) JACKSONVILLE, FL",https://www.ihg.com/candlewood/hotels/us/en/jacksonville/jaxqt/hoteldetail
JAXAU,,HOLIDAY INN EXPRESS,IHG,JACKSONVILLE,FL,HOTELKEY,"HOLIDAY INN EXPRESS & SUITES (SOUTH BARTRAM PARK) JACKSONVILLE, FL",https://www.ihg.com/holidayinnexpress/hotels/us/en/jacksonville/jaxau/hoteldetail
JAXSE,,TOWNEPLACE,MARRIOTT,JACKSONVILLE,FL,AGILYSYS,"TOWNEPLACE SUITES JACKSONVILLE, FL",https://www.marriott.com/hotels/travel/jaxse-towneplace-suites-jacksonville-east/?gclid=Cj0KCQiA9OiPBhCOARIsAI0y71C22RH933XSJVTtW8MFaV9x0mW5YxA4yNemqC3N3CIS6yRXfCWPAbQaAjZjEALw_wcB&gclsrc=aw.ds
MCOKK,,SPRINGHILL SUITES,MARRIOTT,KISSIMMEE/DISNEY,FL,AGILYSYS,Springhill Suites by Marriott Orlando Kissimmee,https://www.marriott.com/en-us/hotels/mcokk-springhill-suites-orlando-lake-buena-vista-south/overview/
DABPC,,FAIRFIELD,MARRIOTT,PALM COAST,FL,AGILYSYS,"FAIRFIELD INN & SUITES PALM COAST, FL",https://www.marriott.com/hotels/travel/dabpc-fairfield-inn-and-suites-palm-coast-i-95/
FL303,,COMFORT INN,CHOICE,SUN CITY CENTER,FL,CHOICEADV,"COMFORT INN SUN CITY CENTER, FL",https://www.choicehotels.com/florida/sun-city-center/comfort-inn-hotels/fl303
FL014,,COMFORT SUITES,CHOICE,TAMPA,FL,CHOICEADV,"COMFORT SUITES (BRANDON) TAMPA, FL",https://www.choicehotels.com/florida/tampa/comfort-suites-hotels/fl014
ATLPGHH,,HILTON,HILTON,PEACHTREE CITY ATLANTA,GA,PEP,Hilton Peachtree City Atlanta Hotel & Conference Center,https://www.hilton.com/en/hotels/atlpghh-hilton-peachtree-city-atlanta-hotel-and-conference-center/
14190,,BEST WESTERN PLUS,BEST WESTERN,ALTON,IL,,Best Western Plus Parkway Hotel,https://www.bestwestern.com/en_US/book/hotels-in-alton/best-western-plus-parkway-hotel/propertyCode.14190.html
,,SUPER 8,WYNDHAM,ALTON,IL,SYNXIS,"SUPER 8 BY WYNDHAM ALTON, IL",https://www.wyndhamhotels.com/super-8/alton-illinois/super-8-alton/overview?iata=00093763&cid=PS:xcuw2s7fmycvlp8&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs5uTCVuojcImMMpUXwxT93EQs9YlggEJFqSAZFbmnbhVOl0aY2_MAsaAtt4EALw_wcB&gclsrc=aw.ds
,,BAYMONT,WYNDHAM,BLOOMINGTON,IL,SYNXIS,"BAYMONT BY WYNDHAM NORMAL BLOOMINGTON, IL",https://www.wyndhamhotels.com/baymont/normal-illinois/baymont-inn-and-suites-normal-bloomington/overview
,,SUPER 8,WYNDHAM,EFFINGHAM,IL,SYNXIS,"SUPER 8 BY WYNDHAM EFFINGHAM, IL",https://www.wyndhamhotels.com/super-8/effingham-illinois/super-8-effingham/overview?iata=00093763&cid=PS:2e4a3k200odb7l5&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs7YNeppaMI8hoXHzA1yZ2U1657A7ZAchEIfTEWKOB_JxITU3HChjrYaAv23EALw_wcB&gclsrc=aw.ds
IL244,,COMFORT SUITES,CHOICE,FAIRVIEW HEIGHTS,IL,CHOICEADV,"COMFORT SUITES FAIRVIEW HEIGHTS, IL",https://www.choicehotels.com/illinois/fairview-heights/comfort-suites-hotels/il244
,,LA QUINTA,WYNDHAM,O'FALLON,IL,SYNXIS,LAQUINTA INN & SUITES BY WYNDHAM O'FALLON IL - ST. LOUIS,https://www.wyndhamhotels.com/laquinta/o-fallon-illinois/la-quinta-inn-suites-o-fallon-il-st-louis/overview?iata=00093763&cid=PS:y5iw4giiqzpjt4t&gclid=CjwKCAiA3L6PBhBvEiwAINlJ9D1I6wKW_CONx6pWCDlg4Uv-PCrHWi28B12M9ga-7t5MFCMcCp9nrBoCQHIQAvD_BwE&gclsrc=aw.ds
,,SUPER 8,WYNDHAM,SALEM,IL,SYNXIS,"SUPER 8 BY WYNDHAM SALEM, IL",https://www.wyndhamhotels.com/super-8/salem-illinois/super-8-salem-il/overview?iata=00093763&cid=PS:bihzavk088hf4a0&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs5xWBvZj64VRbA2f2mMnv6kIzmH3Ulrq2Jet91VRwxMRrWAOlRZpv8aAlO2EALw_wcB&gclsrc=aw.ds
,,SUPER 8,WYNDHAM,ST LOUIS,IL,SYNXIS,"SUPER 8 BY WYNDHAM FAIRVIEW HEIGHTS - ST. LOUIS, IL",https://www.wyndhamhotels.com/super-8/fairview-heights-illinois/super-8-fairview-heights-st-louis/overview?iata=00093763&cid=PS:lhr1g85en5mn0yt&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs5H2XCSGho7ytW59MJ_zXAxXSLjF_RQyWIb1BRt-Rdvxl_SbaGH8LcaApBqEALw_wcB&gclsrc=aw.ds
IN441,,QUALITY,CHOICE,BROWNSBURG,IN,CHOICEADV,"QUALITY INN & SUITES BROWNSBURG, IN",https://www.choicehotels.com/indiana/brownsburg/quality-inn-hotels/in441
,,SUPER 8,WYNDHAM,BY WYNDHAM ROCHESTER,IN,SYNXIS,"SUPER 8 BY WYNDHAM ROCHESTER, IN",https://www.wyndhamhotels.com/super-8/lees-summit-missouri/super-8-lees-summit/overview?iata=00093763&cid=PS:dx29d3m6mpd1q08&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs7_oJxp3kF77kmqHk0W_lnZKegBifYXIBZIpyB_1wxdj_uQ19OoiksaAuXrEALw_wcB&gclsrc=aw.ds
INDCNHX,,HAMPTON,HILTON,DOWNTOWN INDIANAPOLIS,IN,PEP,Hampton Inn Indianapolis Canal IUPUI,https://www.hilton.com/en/hotels/indcnhx-hampton-indianapolis-canal-iupui/
INDIAHW,,HOMEWOOD,HILTON,DOWNTOWN INDIANAPOLIS,IN,PEP,Homewood Suites by Hilton Indianapolis-Downtown,https://www.hilton.com/en/hotels/indiahw-homewood-suites-indianapolis-canal-iupui/
,,AMERICINN,WYNDHAM,INDIANAPOLIS,IN,SYNXIS,"AMERICINN BY WYNDHAM FISHERS INDIANAPOLIS, IN",https://www.wyndhamhotels.com/americinn/fishers-indiana/americinn-hotel-and-suites-fishers-indianapolis/overview
IN372,,COMFORT INN,CHOICE,INDIANAPOLIS,IN,CHOICEADV,"COMFORT INN INDIANAPOLIS, IN",https://www.choicehotels.com/indiana/indianapolis/comfort-inn-hotels/in372
